ANSWER,CLUE
KEFE,TERAZİ GÖZÜ
KEFEKİ,DİŞ DİPLERİNDE VE KAPLARDA OLUŞAN KİREÇ TABAKASI
KEFEKİ,DİŞ TAŞI
KEFEKİ,KÜFEKİ
KEFEKİ,"YAPILARDA KULLANILAN AÇIK RENKLİ, DELİKLİ, HAFİF, İŞLENMESİ KOLAY, ATEŞE DAYANIKLI BİR TAŞ TÜRÜ."
KEFEKİ,YAPILARDA KULLANILAN DAYANIKLI TAŞ
KEHLE,BİT
KEK,"APTAL, BÖN, KOLAY ALDATILABİLEN"
KEK,"ARGODA APTAL, KOLAY ALDATILABİLEN"
KEK,FIRINDA PİŞİRİLEN TATLI ÇÖREK
KEK,KOLAY ALDATILABİLEN
KEK,TATLI BİR TÜR ÇÖREK
KEK,TATLI BİR ÇÖREK
KEK,TATLI ÇÖREK
KEK,ÇÖREK TÜRÜ
KEKE,HALK DİLİNDE KEKEME
KEKE,KEKEME (HALK AĞZI)
KEKE,"KEKEME, KEKEÇ"
KEKE,"TUTUK DİLLİ, KEKEME"
KEKLİK,BİR AV KUŞU
KEKRE,EKŞİMSİ VE BURUK TATLI
KEKRE,TADI EKŞİMİŞ VE BURUK OLAN
KEKİK,"BALLIBABAGİLLERDEN, KOKULU BİR BİTKİ"
KEKİK,KOKULU BİR BİTKİ
KEL,SAÇI DÖKÜLMÜŞ
KEL,SAÇI DÖKÜLMÜŞ OLAN
KEL,SAÇI DÖKÜLMÜŞ OLAN (KİMSE)
KEL,SAÇI DÖKÜLMÜŞ OLAN KİMSE
KEL,SAÇSIZ
KELALAKA,ALAKASIZ.(MECAZİ)
KELALAKA,MECAZEN ALAKASIZ
KELAM,SÖZ
KELAM,İSLAM DİNİNİN ANA İLKELERİNİ KONU EDİNEN İLİM
KELE,"BAĞA, TOSUN"
KELE,BOĞA
KELE,"BOĞA, TOSUN"
KELEK,HAM KAVUN
KELEM,LAHANA
KELEME,BAKIMSIZ BAĞ
KELEPÇE,TUTUKLULARIN BİLEKLERİNE TAKILAN HALKA
KELES,BURSA İLÇESİ
KELKİT,GÜMÜŞHANE İLÇESİ
KELLE,EKİNLERDE BAŞAK
KELLİK,KEL OLMA DURUMU
KELP,KÖPEK
KELT,ESKİ BİR AVRUPA KAVMİ
KELİK,ESKİ AYAKKABI
KEM,"EKSİK, NOKSAN"
KEM,"EKSİK,NOKSAN"
KEM,KÖTÜ GÖZ
KEM,"KÖTÜ, FENA (GÖZ, SÖZ VB.)"
KEM,"NOKSAN, EKSİK"
KEMAH,ERZİNCAN İLÇESİ
KEMAH,ERZİNCAN'IN BİR İLÇESİ
KEMAL,EN YÜKSEK DEĞER
KEMAL,"OLGUNLUK, ERGİNLİK"
KEMALİYE,ERZİNCAN İLÇESİ
KEMAN,TELLİ BİR ÇALGI
KEMAN,"VİYOLA VE VİYOLONSELİN DE BULUNDUĞU VİOLİN AİLESİNİN EN YÜKSEK TONDAN ÇALAN, EN KÜÇÜK ÜYESİ"
KEMAN,YAYLI BİR ÇALGI
KEMANE,KEMAN VE KEMENÇE YAYI
KEMANE,KEMAN YAYI
KEMANİ,ALATURKA MÜZİKTE KEMAN
KEMANİ,ALATURKA MÜZİKTE KEMAN ÇALAN
KEMANİ,KEMAN ÇALAN
KEMANİ,KEMAN ÇALAN KİMSE
KEME,BÜYÜK SIÇAN
KEME,YER MANTARI
KEMENT,HAYVAN YAKALAMA İPİ
KEMER,ANTALYA İLÇESİ
KEMER,BURDUR İLÇESİ
KEMHA,ESKİDEN KULLANILAN BİR TÜR İPEK KUMAŞ
KEMRE,BAŞTA OLAN KEPEK
KEMRE,"GÜBRE, TEZEK"
KENAN,ADANMIŞ ÜLKE YADA İSRAİL ÜLKESİNİN ESKİ ADI
KENAN,‘... DOĞULU’ (ŞARKICI)
KENANÇOBAN,RESİMDEKİ OYUNCU
KENAR,BİR ŞEYİ ÇEVRELEYEN ÇİZGİ
KENAR,KIYI
KENE,BULAŞICI HASTALIKLARA NEDEN OLAN BÖCEK
KENE,SAKIRGA
KENEOTU,HİNT YAĞI AĞACI
KENET,BİRLEŞTİRME PARÇASI
KENT,"POKERDE, SIRAYLA BİRBİRİNİ İZLEYEN DEĞİŞİK RENKTEN BEŞ KARTA VERİLEN AD"
KENT,ŞEHİR
KENYA,AFRİKA’DA BİR ÜLKE
KEP,ASKER ŞAPKASI
KEP,HEMŞİRE BAŞLIĞI
KEP,SİPERSİZ ŞAPKA
KEPENK,DÜKKAN KORUMALIĞI
KEPEZ,ANTALYA İLÇESİ
KEPEZ,"DAĞLARIN OYUK, KUYTU YERLERİ"
KEPEZ,GELİN BAŞLIĞI
KEPSUT,BALIKESİR İLÇESİ
KER,KULAĞI DUYMAYAN
KER,"KUVVET, KUDRET"
KER,SAĞIR (ESKİ DİL)
KERATA,AYAKKABI ÇEKECEĞİ
KERATİN,PROTEİNLİ MADDE
KERATİN,"TIRNAK, BOYNUZ, KIL GİBİ ÜST DERİ ÜRÜNÜ OLAN YAPILARI OLUŞTURAN PROTEİNLİ MADDE"
KERE,KEZ
KERE,"KEZ, DEFA"
KERE,"KEZ, YOL, DEFA, SEFER"
KEREM,"SOYLULUK, ASALET"
KEREM,‘... ALIŞIK’ (AKTÖR)
KEREMBURSİN,RESİMDEKİ OYUNCU
KERES,BÜYÜK VE DERİN KARAVANA
KERKE,ABADAN YAPILAN HIRKA
KERKİ,HALK DİLİNDE KESER.
KERTE,"DERECE, RADDE"
KERTE,İŞARET İÇİN YAPILMIŞ ÇENTİK
KERTE,İŞARET İÇİN YAPILMIŞ ÇENTİK VEYA İZ
KERTE,İŞARET İÇİN YAPILMIŞ ÇENTİK YA DA İZ
KERTİ,BAYAT EKMEK
KERTİ,"BAYAT EKMEK, YEMEK"
KERTİK,"GEDİK, ÇENTİK"
KERTİK,"KERTİLMİŞ YER, GEDİK, ÇENTİK"
KERİM,"ELİ AÇIK, CÖMERT"
KERİM,KEREMİ VE MAĞFİRETİ BOL OLAN
KERİME,KIZ EVLAT
KES,AYAK BİLEKLERİNİ DE İÇİNE ALAN KAPALI JİMNASTİK AYAKKABISI
KES,BOĞAZLI JİMNASTİK AYAKKABISI
KES,GENELLİKLE YAKMAK İÇİN KULLANILAN İRİ SAMAN
KES,İRİ SAMAN
KESAT,ALIŞVERİŞTE DURGUNLUK
KESE,BANYO TEMİZLİK ARACI
KESE,"KISA, KESTİRME (YOL)"
KESE,"KISA, KESTİRME YOL"
KESE,KÜÇÜK PARA TORBASI
KESE,KÜÇÜK TORBA
KESE,ÖRGÜDEN KÜÇÜK TORBA
KESENE,GÖTÜRÜ VEYA TOPTAN SATIŞ
KESENE,"SÖZLEŞME, YAZILI ANLAŞMA"
KESENE,"TOPTAN, GÖTÜRÜ İŞ, YAZILI ANLAŞMA"
KESENEK,"FABRİKA, ÇİFLİK VB. GELİR KAYNAKLARININ GELİRİNİ SATIN ALMA İŞİ, İLTİZAM"
KESENEK,İLTİZAM
KESKİ,"AĞAÇ, TAŞ, METAL YONTMAYA YARAR ÇELİK ARAÇ"
KESKİ,YONTMA ARACI
KESKİN,KIRIKKALE İLÇESİ
KESKİN,ÇOK KESİCİ
KESTEL,BURSA İLÇESİ
KESTEL,BURSA'NIN BİR İLÇESİ
KESTERE,KİTLE
KESTERE,KİTRE
KESTİRİM,TAHMİN
KESİ,KESİLMİŞ YER
KESİM,SEKTÖR
KESİM,"SINIRLANMIŞ, AYRILMIŞ ŞEY"
KESİMEVİ,MEZBAHA
KET,ENGEL
KETE,BİR TÜR ÇÖREK
KETE,KÜLDE PİŞEN ÇÖREK
KETE,KÜLDE PİŞİRİLEN ÇÖREK
KETE,MAYALI VEYA MAYASIZ HAMURDAN YAPILAN ÇÖREK
KETE,MAYASIZ ÇÖREK
KETEN,DOKUMA BİTKİSİ
KETEN,LİFLERİ DOKUMACILIKTA KULLANILAN BİR BİTKİ
KETUM,AĞZI SIKI
KETUM,"SIR SAKLAYAN, AĞZI SIKI"
KEVSER,CENNET IRMAĞI
KEYİF,VÜCUT ESENLİĞİ
KEYİF,"VÜCUT ESENLİĞİ, SAĞLIK"
KEZ,"KERE, DEFA"
KEZZAP,HALK DİLİNDE NİTRİK ASİT
KEZZAP,NİTRİK ASİDİN HALK ARASINDAKİ ADI
KEÇ,YELKENLİ BİR TEKNE
KEÇE,KEÇİ KILINDAN KABA KUMAŞ
KEÇE,KEÇİ KILINDAN YAPILMIŞ KUMAŞ
KEÇİ,GEVİŞ GETİREN BİR HAYVAN
KEÇİ,GEVİŞ GETİRENLERDEN BİR HAYVAN
KEÇİ,YARARLI BİR HAYVAN
KEŞ,ARGODA AYYAŞ
KEŞ,BİR TÜR PEYNİR
KEŞAN,EDİRNE İLÇESİ
KEŞKEK,BUĞDAY YEMEĞİ
KEŞİF,YOĞUN
KG,KİLOGRAM (KISACI)
KG,KİLOGRAM (KISALTMA)
KIL,KEÇİ TÜYÜ
KILAVUZ,REHBER
KILIF,"BİR ŞEYİ KORUMAK İÇİN KENDİ BİÇİMİNE GÖRE, ÇOĞUNLUKLA YUMUŞAK BİR NESNEDEN YAPILMIŞ ÖZEL KAP"
KIMIL,EKİN ZARARLISI
KIN,GİZLİ DÜŞMANLIK
KIN,KESİCİ ARAÇ KABI
KIN,KILIÇ KABI
KINA,SAÇ VE EL BOYAMA TOZU
KINAKINA,KABUĞUNDAN KİNİN ÇIKARILAN BİR AĞAÇ
KINAKINA,KİNİN ÇIKARILAN AĞAÇ
KINAMA,AYIPLAMA
KINAMAK,AYIPLAMAK
KINNAP,KENEVİRDEN YAPILMIŞ SİCİM
KIPTİ,ÇİNGENE
KIR,BEYAZLAŞMIŞ SAÇ
KIRAN,AFET
KIRAN,"ÖLET, AFET"
KIRAT,DEĞERLİ TAŞ ÖLÇÜ BİRİMİ
KIRAT,"ELMAS, ZÜMRÜT VB. DEĞERLİ TAŞLARIN TARTISINDA KULLANILAN BİR AĞIRLIK ÖLÇÜ BİRİMİ"
KIRAT,"ELMAS, ZÜMRÜT VB. DEĞERLİ TAŞLARIN TARTISINDA KULLANILAN, 0,20043 GRAMLIK AĞIRLIK ÖLÇÜ BİRİMİ"
KIRAÇA,İSTAVRİT BALIĞININ KÜÇÜĞÜ
KIRBA,DERİDEN SU KABI
KIRO,ARGODA GÖRGÜSÜZ KİMSE
KISA,UZUN OLMAYAN
KISKI,"KAMA, TAKOZ"
KISMİ,"TİKEL, CUZİ"
KISRAK,DİŞİ AT
KIT,BOL KARŞITI
KIT,MACUN
KIT,YETERSİZ
KITA,EDEBİYATTA DÖRTLÜK
KITA,EN BÜYÜK KARA PARÇASI
KITA,EN BÜYÜK KARA PARÇASI?
KITAAT,KITALAR
KIVANÇ,"SEVİNÇ, ÖVÜNÇ"
KIVANÇ,"ÖVÜNÇ, İFTİHAR"
KIYA,CİNAYET
KIYAS,MUKAYESE
KIYILAMAK,BALIĞIN KIYIYA YAKLAŞMASI
KIYILAMAK,KIYI BOYUNCA GİTMEK
KIŞ,BİR MEVSİM
KIŞ,BİR MEVSİM ADI
KIŞ,ŞİTA
KKK,KARA KUVVETLERİ KOMUTANLIĞI (KISACA)
KKTC,YAVRU VATAN
KLAKET,FİLM SAHNE PLAN TAHTASI
KLAKSON,KORNA
KLAKÖR,TİYATROLARDA OYUNU ALKIŞLAMAK İÇİN PARAYLA TUTULAN KİMSE
KLAN,"BOY, KABİLE"
KLAN,SOSYOLOJİDE BOY
KLAN,TOPLUM BİLİMDE ‘BOY’
KLAPA,YAKANIN DEVRİK BÖLÜMÜ
KLAPA,YAKANIN GÖĞSE DOĞRU İNEN DEVRİK BÖLÜMÜ
KLAS,SINIF
KLAS,SINIF (SOSYOLOJİ)
KLAS,ÜSTÜN NİTELİKLİ
KLASMAN,"BÖLÜMLEME, SINIFLAMA"
KLASİK,"ALIŞILMIŞ, KÖKLEŞMİŞ"
KLASİK,DEĞERİNİ YİTİRMEYEN
KLASİK,GELENEKSEL
KLASİK,SANATTA KURALCI
KLAVSEN,KLAVYELİ VE TELLİ BİR ÇALGI
KLE,GÜREŞTE BİR OYUN
KLM,HOLLANDA KRALİYET HAVA YOLLARI (KISALTMA)
KLON,KOPYA
KLOR,CL ELEMENTİ
KLOR,SİMGESİ CL OLAN ELEMENT
KLİK,HİZİP
KLİMA,İKLİMLEME ARACI
KLİMA,İKLİMLEME AYGITI
KLİNKER,BİR ÇİMENTO ÜRÜNÜ
KLİP,GÖRÜNTÜ EŞLİĞİNDE MÜZİK
KLİPS,YAYLI KÜPE
KLİŞE,BASMAKALIP
KLİŞE,BASMAKALIP SÖZ
KM,KİLOMETRE
KM,KİLOMETRE (KISACA)
KM,KİLOMETRE (KISALTMA)
KNA,KÖK NEDEN ANALİZİ
KNA,KÖK NEDEN ANALİZİ (KISACA)
KNESSET,İSRAİL PARLAMENTOSUNA VERİLEN AD
KNİDOS,BİR ANTİK KENT
KNİDOS,DATÇA’DAKİ ESKİ ÇAĞ KENTİ
KO,DÖRT JAPON ÇİÇEK SÜSLEME OKULUNDAN BİRİ
KOALA,KESELİ AYI
KOALA,KESELİ AYI. AMERİKA ETÇİL MEMELİSİ
KOB,AFRİKA’DA YAŞAYAN BİR ANTİLOP
KOBALT,GÜMÜŞÎ RENKTE BİR ELEMENT
KOBALT,GÜMÜŞİ RENKTE BİR ELEMENT
KOBRA,ÇOK ZEHİRLİ BİR YILAN
KOCA,BİR KADININ EŞİ
KOCA,"YAŞLI, PİR,"
KOCA,"YAŞLI, PİR, İHTİYAR"
KOCAELİ,BİR İLİMİZ
KOCASİNAN,KAYSERİ'NİN BİR İLÇESİ
KOD,BİLGİLERİ GÖSTEREN SİMGELER DİZESİ
KOD,ŞİFRE
KODEKS,İLAÇLARIN FORMÜL KİTABI
KOF,"GÜÇSÜZ, DERMANSIZ"
KOF,KURUYARAK YA DA ÇÜRÜYEREK İÇİ BOŞALMIŞ OLAN
KOFA,HASIROTU
KOFANA,LÜFER BALIĞININ İRİSİ
KOFANA,LÜFERİN İRİSİ
KOK,BİR TÜR KÖMÜR
KOKART,ASKER ŞAPKALARINA TAKILAN VE RENGİ ULUSLARA GÖRE DEĞİŞEN İŞARET
KOKART,BİR TOPLUĞA ÖZGÜ İŞARET
KOKOROZ,ARGO’DA ÇİRKİN KİMSEYE VERİLEN AD
KOKOROZ,MISIR
KOLA,BİR İÇECEK
KOLA,SOĞUK BİR İÇECEK
KOLAN,"DOKUMA, DERİ, KENEVİR VB. MADDELERDEN YAPILAN YASSI VE ENLİCE BAĞ"
KOLAY,ZOR KARŞITI
KOLERA,SALGIN BİR HASTALIK
KOLERA,ÖLDÜRÜCÜ BİR HASTALIK
KOLONİ,SÖMÜRGE
KOLPO,DALAVERE
KOLZA,BİR SANAYİ BİTKİSİ
KOLİ,POSTA PAKETİ
KOM,"AĞIL, DAVAR AĞILI"
KOM,DAVAR AĞILI
KOM,YAYLA EVİ
KOMA,BİLİNÇ KAYBI DURUMU
KOMANDO,SEÇKİN PİYADE
KOMET,KUYRUKLU YILDIZ
KOMET,KUYRUKLUYILDIZ
KOMPETAN,UZMAN
KOMPLO,DÜZEN
KOMİ,GARSON YARDIMCISI
KOMİ,LOKANTALARDA GARSON YARDIMCISI
KOMİK,GÜLÜNÇ
KOMİSER,POLİS AMİRİ
KOMİTA,SİLAH KULLANAN GİZLİ TOPLULUK
KONAK,İZMİR İLÇESİ
KONTAK,ARAÇ ANAHTARI
KONTRBAS,BÜYÜK KEMAN
KONU,"BAP, MEVZU, SÜJE"
KONU,MEVZU BAHİS
KONU,"MEVZU, BAHİS"
KONUM,POZİSYON
KONVOY,AYNI YÖNE GİDEN TAŞITLAR
KONYA,BİR İLİMİZ
KONYA,SELÇUKLU BAŞKENTİ
KOPİL,ARGODA ARSIZ SOKAK ÇOCUĞU
KOPİL,ARSIZ SOKAK ÇOCUĞU
KOR,ATEŞ
KOR,İYİCE YANMIŞ KÖMÜR
KORAMİRAL,BİR DENİZ SUBAYI
KORDA,TAHTA KURUSU
KORDON,KIYI ŞERİDİ
KORE,ASYA'DA ÜLKE
KORGUN,ÇANKIRI'NIN BİR İLÇESİ
KORNA,KLAKSON
KORNO,ÜFLEMELİ BAKIR ÇALGI
KORO,MÜZİK ESERİNİ SESLENDİREN TOPLULUK
KORO,MÜZİK TOPLULUĞU
KORO,TEK YA DA ÇOK SESLİ OLARAK YAZILMIŞ BİR MÜZİK ESERİNİ SESLENDİRMEK İÇİN BİR ARAYA GELEN TOPLULUK.
KORSE,ESNEK İÇ GİYSİSİ
KORSE,İNCE GÖSTEREN İÇ GİYSİSİ
KORSİKA,AKDENİZDE BİR ADA
KORSİKA,AKDENİZ’DE BİR ADA
KORT,TENİS ALANI
KORT,TENİS OYNANAN ALAN
KORU,BAKIMLI KÜÇÜK ORMAN
KORU,KÜÇÜK VE BAKIMLI ORMAN
KORİDA,BOĞA GÜREŞİ
KORİDOR,DAR GEÇİT
KOS,İSTANKÖY ADASININ ESKİ ADI
KOSA,BİR TÜR ORAK
KOSA,BİR TÜR UZUN SAPLI ORAK
KOSA,UZUN SAPLI ORAK
KOSMOZ,EVREN
KOSOVA,AVRUPADA BİR ÜLKE
KOSOVA,AVRUPA’DA BİR ÜLKE
KOT,BLUCİN
KOT,GİYSİ YAPILAN KUMAŞ
KOT,GİYSİ YAPILAN PAMUKLU KUMAŞ
KOT,PAMUKLU KUMAŞ
KOTA,İTHAL MAL LİSTESİ
KOTRA,İNCE GÖVDELİ YELKENLİ
KOV,DEDİKODU
KOVA,BİR BURÇ
KOVA,BİR BURÇ ADI
KOVA,CLUEBİR BURÇ
KOVAN,ARI BARINAĞI
KOY,"DENİZİN, GÖLÜN KÜÇÜK GİRİNTİLER BİÇİMİNDE KARAYA DOĞRU SOKULDUĞU BÖLÜMÜ"
KOY,KÜÇÜK KÖRFEZ
KOZ,CEVİZ
KOZA,İPEK BÖCEĞİ KORUNAĞI
KOÇ,BİR BURÇ
KOÇ,BİR BURÇ ADI
KOÇ,DAMIZLIK ERKEK KOYUN
KOŞAT,TEKE OLMAMIŞ KEÇİ
KOŞU,KOŞMA
KR,KRİPTON (SİMGESİ)
KR,KRİPTON SİMGESİ
KR,KRİPTON'UN SİMGESİ
KRAFT,DAYANIKLI AMBALAJ KAĞIDI
KRAK,BİR İŞLETMENİN ANİ BATIŞI
KRAKELE,SICAK PARÇANIN ANSIZIN SUYUN İÇİNE DALDIRILMASIYLA ELDE EDİLEN ÇATLAK CAM TÜRÜ
KRAKER,BİR TÜR GEVREK VE TUZLU BİSKÜVİ
KRAKER,BİR TÜR TUZLU BİSKÜVİ
KRAKOR,BOKSTA YAKIN DÖVÜŞ
KRAKOR,KAMBOÇYA'NIN PURSAT İLİNDE BULUNAN İLÇE
KRAL,HÜKÜMDAR
KRAL,"HÜKÜMDAR, 'ARGODA ÜSTÜN, MÜKEMMEL'"
KRAL,"HÜKÜMDAR, 'ARGODA ÜSTÜN,MÜKEMMEL'"
KRAL,ÇOK BAŞARILI VE ZENGİN
KRAL,ÇOK BAŞARILI VE ZENGİN İŞ ADAMI
KRAL,"ÜSTÜN, ÇOK İYİ (MECAZ)"
KRALİÇE,KRALIN EŞİ
KRALİÇE,KRALIN KARISI
KRAMP,KASINÇ
KRAMPON,FUTBOL AYAKKABI KABARASI
KRANK,BİR MOTORDA BİLYELERİN ALMAŞIK DEVİNİMİNİ DAİRESEL DEVİNİME ÇEVİREN DİNGİL
KRANK,MOTORDA DİNGİL
KRATER,YANARDAĞ AĞZI
KRAÇA,İSTAVRİT BALIĞININ KÜÇÜĞÜ
KREDİ,BORÇ ÖDEMEDE GÜVENİLİR OLMA DURUMU
KREDİ,"GÜVEN, SAYGINLIK"
KREDİ,"GÜVEN, İTİBAR, SAYGINLIK"
KREDİ,ÖDÜNÇ ALINAN PARA
KREM,AÇIK SAMAN RENGİ
KREMA,BİR TÜR YUMURTALI SÜT TATLISI
KREMA,BİR TÜR YUMURTALI SÜT TATLISI.
KREMA,YUMURTALI SÜT TATLISI
KREP,BİR TÜR İNCE KUMAŞ
KREŞ,ÇOCUK YUVASI
KROKİ,NESNENİN BAŞLICA ÖZELLİKLERİNİ YANSITAN TASLAK
KROKİ,NESNENİN ÖZELLİKLERİNİ YANSITAN
KROKİ,TASLAK
KROM,'CR' SİMGELİ ELEMENT
KROM,BİR ELEMENT
KROM,CR' SİMGELİ ELEMENT
KROM,HAVADA OKSİTLENMEYEN BİR ELEMENT
KROM,OKSİTLENMEYEN BİR ELEMENT
KRON,DANİMARKA PARA BİRİMİ
KRON,DANİMARKANI N PARA BİRİMİ
KRON,DANİMARKA’NI N PARA BİRİMİ
KRONA,İZLANDA PARA BİRİMİ
KRONİK,"MÜZMİN, SÜREĞEN"
KROS,KIR KOŞUSU
KROŞE,BOKSTA BİR YUMRUK
KRUVAZE,ÇİFT DÜĞMELİ CEKET
KRİKO,AĞIR BİR YÜKÜN YERDEN YÜKSELTİLMESİNİ SAĞLAYAN ALET
KRİKO,KALDIRICI
KRİKO,OTO KALDIRICI
KRİPTO,SAKLI YAZI
KRİTER,ÖLÇÜT
KRİTER,"ÖLÇÜT,KISTAS"
KRİTİK,CİDDİ
KRİZ,BUHRAN
KRİZ,"BUNALIM, AKSE, BUHRAN"
KRİZ,RUHSAL BUNALIM
KRŞ,KURUŞ (KISACA)
KS,KIRGIZİSTAN PLAKASI
KS,KIRGIZİSTANIN PLAKASI
KS,KIRGIZİSTAN’IN PLAKASI
KS,KİLOSİKL
KS,KİLOSİKL (KISACA)
KSA,ARABİSTAN PLAKASI
KSENON,ASAL BİR GAZ
KSENON,"HAVADA ON MİLYONDA BİR ORANINDA BULUNAN, RENKSİZ, KOKUSUZ BİR ASAL GAZ"
KT,KİLOTON (KISACA)
KU,HAWAİ İNANIŞINDA SAVAŞ TANRISI
KU,KURÇATOVYUM (SİMGESİ)
KU,KURÇATOVYUM ELEMENTİNİN SİMGESİ
KU,KURÇATOVYUM SİMGESİ
KUALALUMPUR,MALEZYA BAŞKENTİ
KUBA,İSLAM'IN İLK MESCİDİ
KUBAT,"KABA, BİÇİMSİZ"
KUBLE,ÖPME
KUBİLAYAKA,RESİMDEKİ OYUNCU
KUFE,IRAK'TA BİR ŞEHİR
KUFİ,ARAPÇA YAZI BİÇİMİ
KUKA,BİR ÇOCUK OYUNU
KUKA,DANTEL VEYA NAKIŞ İPLİĞİ YUMAĞI
KUKA,DANTEL İPLİĞİ YUMAĞI
KUKA,NAKIŞ İPLİĞİ YUMAĞI
KUKLA,'AHMET ÜMİT' KİTABI
KUKLA,AHMET ÜMİT KİTABI
KUL,ALLAHA GÖRE İNSAN
KUL,ALLAH’A GÖRE İNSAN
KUL,TANRIYA GÖRE İNSAN
KUL,‘ALPER ...’ (AKTÖR)
KULA,MANİSA İLÇESİ
KULU,KONYA İLÇESİ
KULVAR,ATLETİZMDE YARIŞÇI ŞERİDİ
KULİS,GİZLİ HAZIRLIK KONUŞMASI
KUM,BÖBREK TAŞI
KUMA,ATIF YILMAZ VE TARIK DURSUN K. ORTAK FİLMİ
KUMA,AYNI ERKEKLE EVLİ KADINLAR
KUMLA,GENİŞ KUMSAL
KUMLA,"KUMLUK YER, GENİŞ KUMSAL"
KUMPİR,BİR TÜR PATATES DOLMASI
KUMRU,ORDU İLÇESİ
KUMRU,ORDU'NUN BİR İLÇESİ
KUMRU,İZMİR SANDVİÇİ
KUMUL,KUM TEPESİ
KUMUL,ÇÖLDEKİ KUM TEPELERİ
KUMUL,ÇÖLLERDE RÜZGARIN YIĞDIĞI KUM TEPESİ
KUNA,HIRVATİSTAN PARA BİRİMİ
KUNA,HIRVATİSTANIN PARA BİRİMİ
KUNA,HIRVATİSTAN’IN PARA BİRİMİ
KUNDUZ,POSTU DEĞERLİ BİR HAYVAN
KUNDUZ,"SU KIYILARINDA SETLER KURAN, KÜRKÜ DEĞERLİ BİR HAYVAN"
KUNT,"AĞIR, KALIN, DAYANIKLI VE SAĞLAM"
KUNT,DAYANIKLI VE SAĞLAM
KUP,GİYSİ KESİMİ
KUP,"GİYSİ KESİMİ, KESİMLE VERİLEN BİÇİM"
KUPA,BÜYÜK BARDAK
KUPA,İSKAMBİL KAĞITLARINDA BİR GRUP
KUPA,"İSKAMBİL KAĞITLARININ DÖRT GRUBUNDAN BENEKLERİ KIRMIZI, KALP BİÇİMİNDE OLANI"
KUR,DÖVİZİN ULUSAL DEĞERİ
KURA,AD ÇEKME
KURA,"AD ÇEKME, ÇEKİLİŞİ"
KURA,ÇEKİLİŞLE SONUCU BELİRLEME
KURADA,"ESKİMİŞ, BOZULMUŞ (EŞYA)"
KURADA,"GELİŞMEMİŞ, CILIZ"
KURADA,"İŞE YARAMAZ, YIPRANMIŞ, BOZULMUŞ, ESKİMİŞ EŞYA"
KURAL,KAİDE
KURON,DİŞTE METAL KAPLAMA
KURS,BELLİ BİR SÜRESİ OLAN EĞİTİM ETKİNLİĞİ
KURS,"YUVARLAK VE YASSI BİÇİMLİ NESNE, AĞIRSAK"
KURS,ÖZEL DERS
KURU,"SUYU, NEMİ OLMAYAN"
KUT,BAHT
KUT,MUTLULUK
KUT,"TALİH, ŞANS, UĞUR."
KUTLAMA,TEBRİK
KUTSİ,RESİMDEKİ ŞARKICI
KUZU,KOYUN YAVRUSU
KUZİN,KIZ YEĞEN
KUZİN,"TEYZE, DAYI, HALA VEYA AMCANIN KIZ ÇOCUĞU, KIZ YEĞEN, BÖLE"
KUŞE,"PARLAK, KAYMAK KAĞIT"
KUŞE,"PARLAK, PÜRÜZSÜZ KAĞIT"
KYAT,MYANMAR PARA BİRİMİ
KZ,KAZAKİSTANI N PLAKASI
KZ,KAZAKİSTANIN PLAKASI
KZ,KAZAKİSTAN’I N PLAKASI
KZ,KAZAKİSTAN’IN PLAKASI
KÖK,"DİP, TEMEL, ESAS"
KÖK,DİŞİN ALT BÖLÜMÜ
KÖK,"SAZI KURMAYA YARAYAN BURGU, KULAK"
KÖKNAR,BİR ORMAN AĞACI
KÖLE,ESİR
KÖPEKBALIĞI,DENİZALTINDA YAŞAYAN BÜYÜK YIRTICI?
KÖR,"GÖRMEZ, AMA"
KÖRE,ASYA'DA ÜLKE
KÖRE,KARINCA YUVASI
KÖS,BÜYÜK MEHTER DAVULU
KÖS,ESKİDEN SAVAŞLARDA İŞARET VERMEK İÇİN KULLANILAN BÜYÜK DAVUL
KÖS,İSTANKÖY ADASININ ESKİ ADI
KÖSE,GÜMÜŞHANE İLÇESİ
KÖSELE,İŞLENMİŞ KALIN DERİ
KÖTÜ,İYİ KARŞITI
KÖY,KIRSAL YERLEŞİM BİRİMİ
KÖY,KÜÇÜK YERLEŞİM
KÖY,İNSANLARIN YAŞADIĞI YERLEŞİM YERİ?
KÖZ,KÜÇÜK KOR PARÇASI
KÖŞK,AYDIN İLÇESİ
KÖŞK,BAHÇELİ SÜSLÜ EV
KÜBA,BİR ADA ÜLKESİ
KÜF,PAS
KÜFE,BÜYÜK SEPET
KÜL,"BÜTÜN, TÜM"
KÜL,YANAN ŞEYLERDEN ARTAKALAN TOZ MADDE
KÜLLİ,BÜTÜNE VE GENELE İLİŞKİN
KÜME,"LİG, GRUP"
KÜME,TAKIMLAR GRUBU
KÜMÜLÜS,KÜME BULUT
KÜNCÜ,SUSAM (TANELERİ)
KÜNEFE,PEYNİRLİ TEL KADAYIF
KÜNK,KALIN SU BORUSU
KÜNK,ÇİMENTODAN SU BORUSU
KÜR,DÖVİZİN ULUSAL DEĞERİ
KÜR,ÖZEL TEDAVİ YÖNETİMİ
KÜR,İYİ BAKIM VE İLAÇ TEDAVİSİ
KÜRAR,BİTKİSEL BİR ZEHİR
KÜRE,KASTAMONU İLÇESİ
KÜRK,İŞLENMİŞ HAYVAN POSTU
